originalType;modifiedType
?;OTHER
ABNORMAL WARMTH;HEAT
ABNORMALLY DRY;HEAT
ABNORMALLY WET;OTHER
ACCUMULATED SNOWFALL;OTHER
AGRICULTURAL FREEZE;OTHER
APACHE COUNTY;OTHER
ASTRONOMICAL HIGH TIDE;OTHER
AVALANCE;AVALANCHE
BEACH EROSIN;OTHER
BEACH EROSION;OTHER
BEACH EROSION/COASTAL FLOOD;COASTAL FLOOD
BEACH FLOOD;COASTAL FLOOD
BELOW NORMAL PRECIPITATION;OTHER
BITTER WIND CHILL;EXTREME COLD/WIND CHILL
BITTER WIND CHILL TEMPERATURES;EXTREME COLD/WIND CHILL
BLACK ICE;ICE STORM
BLIZZARD AND EXTREME WIND CHIL;BLIZZARD
BLIZZARD AND HEAVY SNOW;BLIZZARD
BLIZZARD WEATHER;BLIZZARD
BLIZZARD/FREEZING RAIN;BLIZZARD
BLIZZARD/HEAVY SNOW;BLIZZARD
BLIZZARD/HIGH WIND;BLIZZARD
BLIZZARD/WINTER STORM;BLIZZARD
BLOWING DUST;DUST STORM
BLOWING SNOW;EXTREME COLD/WIND CHILL
BLOWING SNOW & EXTREME WIND CH;EXTREME COLD/WIND CHILL
BLOWING SNOW- EXTREME WIND CHI;EXTREME COLD/WIND CHILL
BLOWING SNOW/EXTREME WIND CHIL;EXTREME COLD/WIND CHILL
BLOW-OUT TIDE;STORM SURGE/TIDE
BLOW-OUT TIDES;STORM SURGE/TIDE
BREAKUP FLOODING;FLOOD
BRUSH FIRE;WILDFIRE
BRUSH FIRES;WILDFIRE
COASTAL  FLOODING/EROSION;COASTAL FLOOD
COASTAL EROSION;OTHER
COASTAL FLOODING;COASTAL FLOOD
COASTAL FLOODING/EROSION;COASTAL FLOOD
COASTAL STORM;OTHER
COASTAL SURGE;COASTAL FLOOD
COASTAL/TIDAL FLOOD;COASTAL FLOOD
COASTALFLOOD;COASTAL FLOOD
COASTALSTORM;OTHER
COLD;COLD/WIND CHILL
COLD AIR FUNNEL;COLD/WIND CHILL
COLD AIR FUNNELS;COLD/WIND CHILL
COLD AIR TORNADO;COLD/WIND CHILL
COLD AND FROST;COLD/WIND CHILL
COLD AND SNOW;COLD/WIND CHILL
COLD AND WET CONDITIONS;COLD/WIND CHILL
COLD TEMPERATURE;COLD/WIND CHILL
COLD TEMPERATURES;COLD/WIND CHILL
COLD WAVE;COLD/WIND CHILL
COLD WEATHER;COLD/WIND CHILL
COLD WIND CHILL TEMPERATURES;COLD/WIND CHILL
COLD/WINDS;COLD/WIND CHILL
COOL AND WET;COLD/WIND CHILL
COOL SPELL;COLD/WIND CHILL
CSTL FLOODING/EROSION;COASTAL FLOOD
DAM BREAK;OTHER
DAM FAILURE;OTHER
DAMAGING FREEZE;FROST/FREEZE
DEEP HAIL;HAIL
DOWNBURST;COLD/WIND CHILL
DOWNBURST WINDS;COLD/WIND CHILL
DRIEST MONTH;OTHER
DRIFTING SNOW;OTHER
DROUGHT/EXCESSIVE HEAT;DROUGHT
DROWNING;OTHER
DRY;HEAT
DRY CONDITIONS;HEAT
DRY HOT WEATHER;HEAT
DRY MICROBURST;THUNDERSTORM WIND
DRY MICROBURST 50;THUNDERSTORM WIND
DRY MICROBURST 53;THUNDERSTORM WIND
DRY MICROBURST 58;THUNDERSTORM WIND
DRY MICROBURST 61;THUNDERSTORM WIND
DRY MICROBURST 84;THUNDERSTORM WIND
DRY MICROBURST WINDS;THUNDERSTORM WIND
DRY MIRCOBURST WINDS;THUNDERSTORM WIND
DRY PATTERN;HEAT
DRY SPELL;HEAT
DRY WEATHER;HEAT
DRYNESS;HEAT
DUST DEVEL;DUST DEVIL
DUST DEVIL WATERSPOUT;DUST DEVIL
DUST STORM/HIGH WINDS;DUST STORM
DUSTSTORM;DUST STORM
EARLY FREEZE;FROST/FREEZE
EARLY FROST;FROST/FREEZE
EARLY RAIN;OTHER
EARLY SNOW;OTHER
EARLY SNOWFALL;OTHER
EROSION/CSTL FLOOD;COASTAL FLOOD
EXCESSIVE;OTHER
EXCESSIVE COLD;EXTREME COLD/WIND CHILL
EXCESSIVE HEAT/DROUGHT;DROUGHT
EXCESSIVE PRECIPITATION;HEAVY RAIN
EXCESSIVE RAIN;HEAVY RAIN
EXCESSIVE RAINFALL;HEAVY RAIN
EXCESSIVE SNOW;HEAVY SNOW
EXCESSIVE WETNESS;OTHER
EXCESSIVELY DRY;EXCESSIVE HEAT
EXTENDED COLD;COLD/WIND CHILL
EXTREME COLD;EXTREME COLD/WIND CHILL
EXTREME HEAT;EXCESSIVE HEAT
EXTREME WIND CHILL;EXTREME COLD/WIND CHILL
EXTREME WIND CHILL/BLOWING SNO;EXTREME COLD/WIND CHILL
EXTREME WIND CHILLS;EXTREME COLD/WIND CHILL
EXTREME WINDCHILL;EXTREME COLD/WIND CHILL
EXTREME WINDCHILL TEMPERATURES;EXTREME COLD/WIND CHILL
EXTREME/RECORD COLD;EXTREME COLD/WIND CHILL
EXTREMELY WET;OTHER
FALLING SNOW/ICE;SLEET
FIRST FROST;FROST/FREEZE
FIRST SNOW;OTHER
FLASH FLOOD - HEAVY RAIN;FLASH FLOOD
FLASH FLOOD FROM ICE JAMS;FLASH FLOOD
FLASH FLOOD LANDSLIDES;FLASH FLOOD
FLASH FLOOD WINDS;FLASH FLOOD
FLASH FLOOD/;FLASH FLOOD
FLASH FLOOD/ FLOOD;FLASH FLOOD
FLASH FLOOD/ STREET;FLASH FLOOD
FLASH FLOOD/FLOOD;FLASH FLOOD
FLASH FLOOD/HEAVY RAIN;FLASH FLOOD
FLASH FLOOD/LANDSLIDE;FLASH FLOOD
FLASH FLOODING;FLASH FLOOD
FLASH FLOODING/FLOOD;FLASH FLOOD
FLASH FLOODING/THUNDERSTORM WI;FLASH FLOOD
FLASH FLOODS;FLASH FLOOD
FLASH FLOOODING;FLASH FLOOD
FLOOD & HEAVY RAIN;FLOOD
FLOOD FLASH;FLASH FLOOD
FLOOD FLOOD/FLASH;FLASH FLOOD
FLOOD WATCH/;FLOOD
FLOOD/FLASH;FLASH FLOOD
FLOOD/FLASH FLOOD;FLASH FLOOD
FLOOD/FLASH FLOODING;FLASH FLOOD
FLOOD/FLASH/FLOOD;FLASH FLOOD
FLOOD/FLASHFLOOD;FLASH FLOOD
FLOOD/RAIN/WIND;FLOOD
FLOOD/RAIN/WINDS;FLOOD
FLOOD/RIVER FLOOD;FLOOD
FLOOD/STRONG WIND;FLOOD
FLOODING;FLOOD
FLOODING/HEAVY RAIN;FLOOD
FLOODS;FLOOD
FOG;FROST/FREEZE
FOG AND COLD TEMPERATURES;FROST/FREEZE
FOREST FIRES;WILDFIRE
FREEZE;FROST/FREEZE
FREEZING DRIZZLE;FROST/FREEZE
FREEZING DRIZZLE AND FREEZING;FROST/FREEZE
FREEZING RAIN;FROST/FREEZE
FREEZING RAIN AND SLEET;FROST/FREEZE
FREEZING RAIN AND SNOW;FROST/FREEZE
FREEZING RAIN SLEET AND;FROST/FREEZE
FREEZING RAIN SLEET AND LIGHT;FROST/FREEZE
FREEZING RAIN/SLEET;FROST/FREEZE
FREEZING RAIN/SNOW;FROST/FREEZE
FREEZING SPRAY;FROST/FREEZE
FROST;FROST/FREEZE
FROST\FREEZE;FROST/FREEZE
FUNNEL;FUNNEL CLOUD
FUNNEL CLOUD.;FUNNEL CLOUD
FUNNEL CLOUD/HAIL;FUNNEL CLOUD
FUNNEL CLOUDS;FUNNEL CLOUD
FUNNELS;FUNNEL CLOUD
GLAZE;ICE STORM
GLAZE ICE;ICE STORM
GLAZE/ICE STORM;ICE STORM
GRADIENT WIND;OTHER
GRADIENT WINDS;OTHER
GRASS FIRES;WILDFIRE
GROUND BLIZZARD;BLIZZARD
GUSTNADO;THUNDERSTORM WIND
GUSTNADO AND;THUNDERSTORM WIND
GUSTY LAKE WIND;THUNDERSTORM WIND
GUSTY THUNDERSTORM WIND;THUNDERSTORM WIND
GUSTY THUNDERSTORM WINDS;THUNDERSTORM WIND
GUSTY WIND;THUNDERSTORM WIND
GUSTY WIND/HAIL;THUNDERSTORM WIND
GUSTY WIND/HVY RAIN;THUNDERSTORM WIND
GUSTY WIND/RAIN;THUNDERSTORM WIND
GUSTY WINDS;THUNDERSTORM WIND
HAIL 0.75;HAIL
HAIL 0.88;HAIL
HAIL 075;HAIL
HAIL 088;HAIL
HAIL 1.00;HAIL
HAIL 1.75;HAIL
HAIL 1.75);HAIL
HAIL 100;HAIL
HAIL 125;HAIL
HAIL 150;HAIL
HAIL 175;HAIL
HAIL 200;HAIL
HAIL 225;HAIL
HAIL 275;HAIL
HAIL 450;HAIL
HAIL 75;HAIL
HAIL 80;HAIL
HAIL 88;HAIL
HAIL ALOFT;HAIL
HAIL DAMAGE;HAIL
HAIL FLOODING;HAIL
HAIL STORM;HAIL
HAIL(0.75);HAIL
HAIL/ICY ROADS;HAIL
HAIL/WIND;HAIL
HAIL/WINDS;HAIL
HAILSTORM;HAIL
HAILSTORMS;HAIL
HARD FREEZE;FROST/FREEZE
HAZARDOUS SURF;HIGH SURF
HEAT DROUGHT;DROUGHT
HEAT WAVE;HEAT
HEAT WAVE DROUGHT;DROUGHT
HEAT WAVES;HEAT
HEAT/DROUGHT;DROUGHT
HEATBURST;HEAT
HEAVY LAKE SNOW;HEAVY SNOW
HEAVY MIX;WINTER WEATHER
HEAVY PRECIPATATION;HEAVY RAIN
HEAVY PRECIPITATION;HEAVY RAIN
HEAVY RAIN AND FLOOD;HEAVY RAIN
HEAVY RAIN AND WIND;HEAVY RAIN
HEAVY RAIN EFFECTS;HEAVY RAIN
HEAVY RAIN/FLOODING;HEAVY RAIN
HEAVY RAIN/HIGH SURF;HEAVY RAIN
HEAVY RAIN/LIGHTNING;HEAVY RAIN
HEAVY RAIN/MUDSLIDES/FLOOD;HEAVY RAIN
HEAVY RAIN/SEVERE WEATHER;HEAVY RAIN
HEAVY RAIN/SMALL STREAM URBAN;HEAVY RAIN
HEAVY RAIN/SNOW;HEAVY RAIN
HEAVY RAIN/URBAN FLOOD;HEAVY RAIN
HEAVY RAIN/WIND;HEAVY RAIN
"HEAVY RAIN; URBAN FLOOD WINDS;";HEAVY RAIN
HEAVY RAINFALL;HEAVY RAIN
HEAVY RAINS;HEAVY RAIN
HEAVY RAINS/FLOODING;HEAVY RAIN
HEAVY SEAS;HIGH SURF
HEAVY SHOWER;HEAVY RAIN
HEAVY SHOWERS;HEAVY RAIN
HEAVY SNOW   FREEZING RAIN;HEAVY SNOW
HEAVY SNOW & ICE;HEAVY SNOW
HEAVY SNOW AND;HEAVY SNOW
HEAVY SNOW AND HIGH WINDS;HEAVY SNOW
HEAVY SNOW AND ICE;HEAVY SNOW
HEAVY SNOW AND ICE STORM;HEAVY SNOW
HEAVY SNOW AND STRONG WINDS;HEAVY SNOW
HEAVY SNOW ANDBLOWING SNOW;HEAVY SNOW
HEAVY SNOW SHOWER;HEAVY SNOW
HEAVY SNOW SQUALLS;HEAVY SNOW
HEAVY SNOW/BLIZZARD;HEAVY SNOW
HEAVY SNOW/BLIZZARD/AVALANCHE;HEAVY SNOW
HEAVY SNOW/BLOWING SNOW;HEAVY SNOW
HEAVY SNOW/FREEZING RAIN;HEAVY SNOW
HEAVY SNOW/HIGH;HEAVY SNOW
HEAVY SNOW/HIGH WIND;HEAVY SNOW
HEAVY SNOW/HIGH WINDS;HEAVY SNOW
HEAVY SNOW/HIGH WINDS & FLOOD;HEAVY SNOW
HEAVY SNOW/HIGH WINDS/FREEZING;HEAVY SNOW
HEAVY SNOW/ICE;HEAVY SNOW
HEAVY SNOW/ICE STORM;HEAVY SNOW
HEAVY SNOW/SLEET;HEAVY SNOW
HEAVY SNOW/SQUALLS;HEAVY SNOW
HEAVY SNOW/WIND;HEAVY SNOW
HEAVY SNOW/WINTER STORM;HEAVY SNOW
HEAVY SNOWPACK;HEAVY SNOW
HEAVY SNOW-SQUALLS;HEAVY SNOW
HEAVY SURF;HIGH SURF
HEAVY SURF AND WIND;HIGH SURF
HEAVY SURF COASTAL FLOODING;HIGH SURF
HEAVY SURF/HIGH SURF;HIGH SURF
HEAVY SWELLS;HIGH SURF
HEAVY WET SNOW;HEAVY SNOW
HIGH;OTHER
HIGH  SWELLS;HIGH SURF
HIGH  WINDS;HIGH WIND
HIGH SEAS;HIGH SURF
HIGH SURF ADVISORIES;HIGH SURF
HIGH SURF ADVISORY;HIGH SURF
HIGH SWELLS;HIGH SURF
HIGH TEMPERATURE RECORD;EXCESSIVE HEAT
HIGH TIDES;HIGH SURF
HIGH WATER;HIGH SURF
HIGH WAVES;HIGH SURF
HIGH WIND (G40);HIGH WIND
HIGH WIND 48;HIGH WIND
HIGH WIND 63;HIGH WIND
HIGH WIND 70;HIGH WIND
HIGH WIND AND HEAVY SNOW;HIGH WIND
HIGH WIND AND HIGH TIDES;HIGH WIND
HIGH WIND AND SEAS;HIGH WIND
HIGH WIND DAMAGE;HIGH WIND
HIGH WIND/ BLIZZARD;HIGH WIND
HIGH WIND/BLIZZARD;HIGH WIND
HIGH WIND/BLIZZARD/FREEZING RA;HIGH WIND
HIGH WIND/HEAVY SNOW;HIGH WIND
HIGH WIND/LOW WIND CHILL;HIGH WIND
HIGH WIND/SEAS;HIGH WIND
HIGH WIND/WIND CHILL;HIGH WIND
HIGH WIND/WIND CHILL/BLIZZARD;HIGH WIND
HIGH WINDS;HIGH WIND
HIGH WINDS 55;HIGH WIND
HIGH WINDS 57;HIGH WIND
HIGH WINDS 58;HIGH WIND
HIGH WINDS 63;HIGH WIND
HIGH WINDS 66;HIGH WIND
HIGH WINDS 67;HIGH WIND
HIGH WINDS 73;HIGH WIND
HIGH WINDS 76;HIGH WIND
HIGH WINDS 80;HIGH WIND
HIGH WINDS 82;HIGH WIND
HIGH WINDS AND WIND CHILL;HIGH WIND
HIGH WINDS DUST STORM;HIGH WIND
HIGH WINDS HEAVY RAINS;HIGH WIND
HIGH WINDS/;HIGH WIND
HIGH WINDS/COASTAL FLOOD;HIGH WIND
HIGH WINDS/COLD;HIGH WIND
HIGH WINDS/FLOODING;HIGH WIND
HIGH WINDS/HEAVY RAIN;HIGH WIND
HIGH WINDS/SNOW;HIGH WIND
HIGHWAY FLOODING;FLOOD
HOT AND DRY;HEAT
HOT PATTERN;HEAT
HOT SPELL;HEAT
HOT WEATHER;HEAT
HOT/DRY PATTERN;HEAT
HURRICANE;HURRICANE (TYPHOON)
HURRICANE EDOUARD;HURRICANE (TYPHOON)
HURRICANE EMILY;HURRICANE (TYPHOON)
HURRICANE ERIN;HURRICANE (TYPHOON)
HURRICANE FELIX;HURRICANE (TYPHOON)
HURRICANE GORDON;HURRICANE (TYPHOON)
HURRICANE OPAL;HURRICANE (TYPHOON)
HURRICANE OPAL/HIGH WINDS;HURRICANE (TYPHOON)
HURRICANE/TYPHOON;HURRICANE (TYPHOON)
HURRICANE-GENERATED SWELLS;HURRICANE (TYPHOON)
HVY RAIN;HEAVY RAIN
HYPERTHERMIA/EXPOSURE;OTHER
HYPOTHERMIA;OTHER
HYPOTHERMIA/EXPOSURE;OTHER
ICE;OTHER
ICE AND SNOW;OTHER
ICE FLOES;OTHER
ICE FOG;FREEZING FOG
ICE JAM;OTHER
ICE JAM FLOOD (MINOR;FLOOD
ICE JAM FLOODING;FLOOD
ICE ON ROAD;OTHER
ICE PELLETS;HAIL
ICE ROADS;OTHER
ICE STORM AND SNOW;ICE STORM
ICE STORM/FLASH FLOOD;ICE STORM
ICE/SNOW;ICE STORM
ICE/STRONG WINDS;ICE STORM
ICESTORM/BLIZZARD;ICE STORM
ICY ROADS;OTHER
LACK OF SNOW;OTHER
LAKE EFFECT SNOW;LAKE-EFFECT SNOW
LAKE FLOOD;LAKESHORE FLOOD
LANDSLIDE;OTHER
LANDSLIDE/URBAN FLOOD;OTHER
LANDSLIDES;OTHER
LANDSLUMP;OTHER
LANDSPOUT;OTHER
LARGE WALL CLOUD;OTHER
LATE FREEZE;FROST/FREEZE
LATE SEASON HAIL;HAIL
LATE SEASON SNOW;OTHER
LATE SEASON SNOWFALL;OTHER
LATE SNOW;OTHER
LATE-SEASON SNOWFALL;OTHER
LIGHT FREEZING RAIN;SLEET
LIGHT SNOW;OTHER
LIGHT SNOW AND SLEET;SLEET
LIGHT SNOW/FLURRIES;OTHER
LIGHT SNOW/FREEZING PRECIP;SLEET
LIGHT SNOWFALL;OTHER
LIGHTING;LIGHTNING
LIGHTNING  WAUSEON;LIGHTNING
LIGHTNING AND HEAVY RAIN;LIGHTNING
LIGHTNING AND THUNDERSTORM WIN;LIGHTNING
LIGHTNING AND WINDS;LIGHTNING
LIGHTNING DAMAGE;LIGHTNING
LIGHTNING FIRE;LIGHTNING
LIGHTNING INJURY;LIGHTNING
LIGHTNING THUNDERSTORM WINDS;LIGHTNING
LIGHTNING THUNDERSTORM WINDSS;LIGHTNING
LIGHTNING.;LIGHTNING
LIGHTNING/HEAVY RAIN;LIGHTNING
LIGNTNING;LIGHTNING
LOCAL FLASH FLOOD;FLASH FLOOD
LOCAL FLOOD;FLOOD
LOCALLY HEAVY RAIN;HEAVY RAIN
LOW TEMPERATURE;COLD/WIND CHILL
LOW TEMPERATURE RECORD;COLD/WIND CHILL
LOW WIND CHILL;COLD/WIND CHILL
MAJOR FLOOD;FLOOD
MARINE ACCIDENT;OTHER
MARINE MISHAP;OTHER
MARINE TSTM WIND;MARINE THUNDERSTORM WIND
METRO STORM, MAY 26;OTHER
MICROBURST;THUNDERSTORM WIND
MICROBURST WINDS;THUNDERSTORM WIND
MILD AND DRY PATTERN;OTHER
MILD PATTERN;OTHER
MILD/DRY PATTERN;OTHER
MINOR FLOOD;FLOOD
MINOR FLOODING;FLOOD
MIXED PRECIP;OTHER
MIXED PRECIPITATION;OTHER
MODERATE SNOW;OTHER
MODERATE SNOWFALL;OTHER
MONTHLY PRECIPITATION;OTHER
MONTHLY RAINFALL;OTHER
MONTHLY SNOWFALL;OTHER
MONTHLY TEMPERATURE;OTHER
MOUNTAIN SNOWS;OTHER
